Year,Count in matching_lines.csv,Count in names_by_year.csv,Difference
1965,1,0,1
1968,6,3,3
1969,4,4,0
1970,4,3,1
1971,2,2,0
1972,2,2,0
1973,3,2,1
1975,1,0,1
1977,1,0,1
1978,9,11,-2
1979,16,13,3
1980,5,8,-3
1981,2,1,1
1982,6,6,0
1983,2,2,0
1984,5,4,1
1985,18,22,-4
1986,16,20,-4
1987,32,38,-6
1988,29,33,-4
1989,15,28,-13
1990,28,26,2
1991,33,57,-24
1992,20,0,20
1993,64,0,64
1994,64,3,61
1995,50,20,30
1996,38,50,-12
1997,63,60,3
1998,49,76,-27
1999,51,70,-19
2000,55,61,-6
2001,58,88,-30
2002,53,98,-45
2003,51,118,-67
2004,82,144,-62
2005,135,221,-86
2006,131,206,-75
2007,138,184,-46
2008,139,178,-39
2009,236,286,-50
2010,198,242,-44
2011,207,248,-41
2012,267,284,-17
2013,238,287,-49
2014,164,220,-56
2015,34,43,-9
2016,233,301,-68
2017,289,345,-56
2018,351,374,-23
2019,376,410,-34
2020,413,441,-28
2021,474,513,-39
2022,420,445,-25
2023,437,478,-41
2024,365,387,-22
